GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
73,1632,1050,51,251,2075,5.1,84,31,6.1
99,1654,1050,51,326,2081,5.2,84,36,6.2
99,1654,1050,51,326,2081,5.2,84,36,6.2
99,1589,1050,51,319,2083,5.3,78,38,6.3
99,1589,1050,51,319,2083,5.3,78,38,6.3
99,1685,1050,52,327,2082,5.3,80,33,6.2
99,1689,1050,53,321,2083,5.3,77,32,6.3
99,1689,1050,53,321,2083,5.3,77,32,6.3
99,1676,1050,52,315,2085,5.4,78,41,6.4
99,1676,1050,52,315,2085,5.4,78,41,6.4
99,1672,1050,53,320,2082,5.5,64,36,6.3
99,1685,1050,53,327,2083,5.5,66,34,6.3
99,1685,1050,53,327,2083,5.5,66,34,6.3
99,1679,1050,53,333,2071,5.5,68,32,6.3
99,1680,1050,53,325,2064,5.5,66,36,6.4
99,1680,1050,53,325,2064,5.5,66,36,6.4
99,1681,1050,53,313,2063,5.7,64,44,6.4
99,1681,1050,53,313,2063,5.7,64,44,6.4
99,1680,1050,54,333,2102,5.6,67,32,6.3
99,1677,1050,53,337,2117,5.6,69,29,6.4
99,1677,1050,53,337,2117,5.6,69,29,6.4
99,1676,1050,54,337,2123,5.6,68,26,6.4
99,1676,1050,54,337,2123,5.6,68,26,6.4
99,1680,1050,54,324,2135,5.6,67,27,6.4
99,1680,1050,54,324,2135,5.6,67,27,6.4
99,1679,1050,54,357,2142,5.6,66,29,6.4
99,1682,1050,55,324,2141,5.6,65,21,6.4
99,1682,1050,55,324,2141,5.6,65,21,6.4
94,1690,1050,54,319,2140,5.6,63,28,6.4
94,1690,1050,54,319,2140,5.6,63,28,6.4
99,1681,1050,54,320,2143,5.6,65,23,6.2
99,1681,1050,54,320,2143,5.6,65,23,6.2
99,1689,1050,55,316,2142,5.6,60,27,6.2
99,1689,1050,55,316,2142,5.6,60,27,6.2
99,1686,1050,55,313,2141,5.6,63,27,6.3
99,1686,1050,55,313,2141,5.6,63,27,6.3
99,1693,1050,54,319,2141,5.6,63,18,6.3
99,1693,1050,54,319,2141,5.6,63,18,6.3
99,1686,1050,55,334,2152,5.6,63,29,6.3
99,1686,1050,55,334,2152,5.6,63,29,6.3
99,1693,1050,55,324,2162,5.6,64,23,6.3
99,1690,1050,55,324,2162,5.7,63,22,6.3
99,1687,1050,55,319,2162,5.7,67,25,6.4
99,1687,1050,55,319,2162,5.7,67,25,6.4
99,1690,1050,55,319,2161,5.7,64,21,6.4
99,1690,1050,55,319,2161,5.7,64,21,6.4
99,1688,1050,54,315,2162,5.8,62,22,6.4
99,1688,1050,54,315,2162,5.8,62,22,6.4
99,1679,1050,55,332,2163,5.5,62,23,6.1
99,1679,1050,55,332,2163,5.5,62,23,6.1
99,1673,1050,55,332,2162,5.5,69,18,6.1
99,1677,1050,55,329,2164,5.5,70,19,6.1
99,1677,1050,55,329,2164,5.5,70,19,6.1
99,1683,1050,55,332,2175,5.5,68,23,6.1
99,1687,1050,54,323,2180,5.5,66,21,6.1
99,1687,1050,54,323,2180,5.5,66,21,6.1
99,1684,1050,55,331,2180,5.6,57,24,6.1
99,1682,1050,56,335,2181,5.6,69,19,6.1
99,1682,1050,56,335,2181,5.6,69,19,6.1
97,1665,1050,55,280,2180,5.6,64,23,6.1
97,1665,1050,55,280,2180,5.6,64,23,6.1
99,1684,1050,56,335,2181,5.6,61,20,6.1
99,1684,1050,56,335,2181,5.6,61,20,6.1
99,1682,1050,56,328,2181,5.7,65,19,6.1
99,1682,1050,56,328,2181,5.7,65,19,6.1
99,1680,1050,56,331,2181,5.6,69,20,6.1
99,1677,1050,56,337,2182,5.7,73,20,6.1
99,1677,1050,56,337,2182,5.7,73,20,6.1
99,1671,1050,56,334,2183,5.7,70,19,6.1
99,1671,1050,56,334,2183,5.7,70,19,6.1
99,1681,1050,56,324,2182,5.7,67,20,6.2
99,1683,1050,57,324,2182,5.8,67,18,6.1
99,1683,1050,57,324,2182,5.8,67,18,6.1
99,1685,1050,55,321,2181,5.8,66,21,6.2
99,1685,1050,55,321,2181,5.8,66,21,6.2
99,1683,1050,56,325,2180,5.8,67,19,6.2
99,1683,1050,56,329,2182,5.8,67,22,6.2
99,1683,1050,56,329,2182,5.8,67,22,6.2
99,1675,1050,56,341,2206,5.8,74,18,6.2
99,1675,1050,56,341,2206,5.8,74,18,6.2
99,1677,1050,56,336,2221,5.8,69,18,6.2
99,1673,1050,57,336,2217,5.8,73,18,6.2
99,1673,1050,57,336,2217,5.8,73,18,6.2
99,1686,1050,55,325,2219,5.8,66,21,6.2
99,1688,1050,57,322,2219,5.7,63,21,6.1
99,1688,1050,57,322,2219,5.7,63,21,6.1
99,1685,1050,57,317,2218,5.7,62,16,6.1
99,1679,1050,57,323,2219,5.8,59,23,6.2
99,1679,1050,57,323,2219,5.8,59,23,6.2
99,1675,1050,56,330,2185,5.8,64,21,6.2
99,1675,1050,56,330,2185,5.8,64,21,6.2
99,1669,1050,57,336,2182,5.8,66,39,6.2
99,1680,1050,57,333,2183,5.8,67,26,6.2
99,1680,1050,57,333,2183,5.8,67,26,6.2
99,1680,1050,57,323,2215,5.8,66,29,6.2
99,1680,1050,57,323,2215,5.8,66,29,6.2
99,1638,1050,56,277,2221,5.8,65,25,6.2
99,1638,1050,56,277,2221,5.8,65,25,6.2
99,1668,1050,57,330,2181,5.8,69,20,6.2
99,1670,1050,57,329,2169,5.8,68,24,6.2
99,1670,1050,57,329,2169,5.8,68,24,6.2
99,1645,1050,57,331,2165,5.8,62,26,5.9
99,1677,1050,57,326,2164,5.8,66,18,5.9
99,1677,1050,57,326,2164,5.8,66,18,5.9
99,1678,1050,57,333,2213,5.8,70,19,5.9
99,1678,1050,57,333,2213,5.8,70,19,5.9
99,1681,1050,57,336,2220,5.8,68,23,5.9
99,1681,1050,57,336,2220,5.8,68,23,5.9
99,1681,1050,57,333,2232,5.8,69,19,5.9
99,1681,1050,57,333,2232,5.8,69,19,5.9
99,1680,1050,58,334,2239,5.7,69,19,5.9
99,1680,1050,55,328,2239,5.8,68,19,5.9
99,1680,1050,55,328,2239,5.8,68,19,5.9
99,1680,1050,57,329,2240,5.8,68,19,5.9
99,1680,1050,57,329,2240,5.8,68,19,5.9
99,1676,1050,55,324,2239,5.9,64,29,5.9
99,1681,1050,56,330,2238,5.9,68,21,6
99,1681,1050,56,330,2238,5.9,68,21,6
99,1678,1050,54,323,2228,5.9,65,24,6
99,1669,1050,55,327,2224,5.9,71,23,6
99,1669,1050,55,327,2224,5.9,71,23,6
99,1673,1050,57,335,2220,5.9,65,26,6
99,1673,1050,57,335,2220,5.9,65,26,6
99,1677,1050,58,332,2235,5.9,67,17,6
99,1674,1050,56,333,2238,5.9,71,19,6
99,1674,1050,56,333,2238,5.9,71,19,6
99,1672,1050,56,338,2239,5.9,68,17,6
99,1675,1050,57,334,2239,5.9,71,18,6
99,1675,1050,57,334,2239,5.9,71,18,6
99,1681,1050,55,324,2238,5.9,70,18,6
99,1681,1050,55,324,2238,5.9,70,18,6
99,1685,1050,58,324,2239,5.9,62,31,6
99,1686,1050,58,328,2239,5.9,65,13,6
99,1686,1050,57,330,2238,5.9,65,13,6
99,1686,1050,58,324,2238,5.9,65,17,6
99,1686,1050,58,324,2238,5.9,65,17,6
99,1686,1050,58,320,2240,5.9,65,18,6
99,1674,1050,58,332,2238,5.9,65,18,6
99,1674,1050,58,332,2238,5.9,65,17,6
99,1682,1050,58,320,2189,5.9,65,16,6
99,1682,1050,58,320,2189,5.9,65,16,6
99,1678,1050,57,332,2184,5.9,66,17,6
99,1678,1050,57,332,2184,5.9,66,17,6
99,1665,1050,56,345,2182,5.9,72,19,6
99,1672,1050,58,330,2184,5.9,67,21,6
