GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
97,1557,1050,55,298,2169,5.1,78,38,7.1
97,1557,1050,55,298,2169,5.1,78,38,7.1
98,1653,1050,56,305,2168,5.1,93,36,7.1
98,1653,1050,56,305,2168,5.1,93,36,7.1
86,1608,1050,54,249,2193,5.1,89,41,7.1
90,1626,1050,57,284,2218,5.1,83,48,7.1
90,1626,1050,57,284,2218,5.1,83,48,7.1
94,1639,1050,56,328,2225,5.1,82,45,7
94,1639,1050,56,328,2225,5.1,82,45,7
99,1654,1050,57,334,2199,5.1,101,38,7.1
99,1654,1050,57,334,2199,5.1,101,38,7.1
99,1654,1050,57,332,2170,5.1,101,34,7.1
99,1654,1050,57,332,2170,5.1,101,34,7.1
99,1662,1050,55,317,2168,5.1,98,35,7.1
99,1662,1050,55,317,2168,5.1,98,35,7.1
99,1662,1050,58,325,2268,5.1,97,36,7.1
99,1668,1050,55,315,2278,5.1,95,34,7.1
99,1674,1050,58,319,2279,5.1,90,34,7.1
99,1674,1050,58,319,2279,5.1,90,34,6.9
99,1657,1050,58,338,2263,5.1,92,38,6.9
98,1665,1050,57,318,2249,5.1,96,37,6.9
98,1665,1050,57,318,2249,5.1,96,37,6.9
99,1673,1050,58,318,2246,5.1,87,37,6.9
99,1673,1050,58,318,2246,5.1,87,37,6.9
99,1668,1050,55,320,2243,5.1,94,35,7
99,1671,1050,56,323,2244,5.1,93,31,7
99,1671,1050,56,323,2244,5.1,93,31,7
99,1668,1050,56,327,2244,5.1,91,32,7
99,1668,1050,56,327,2244,5.1,91,32,7
99,1669,1050,56,323,2245,5.1,94,33,7
99,1669,1050,56,323,2245,5.1,94,33,7
99,1663,1050,56,325,2246,5.1,91,35,7
99,1663,1050,56,325,2246,5.1,91,35,7
99,1664,1050,56,327,2245,5.1,94,31,7.1
99,1664,1050,56,327,2245,5.1,94,31,7.1
99,1668,1050,58,317,2227,5.1,91,30,7.1
99,1668,1050,58,317,2227,5.1,91,30,7.1
99,1672,1050,59,319,2227,5,88,31,6.8
99,1660,1050,57,331,2224,5,96,32,6.8
99,1653,1050,56,334,2253,5,102,29,6.8
99,1653,1050,56,334,2253,5,102,29,6.8
99,1650,1050,60,330,2277,5,103,26,6.8
99,1650,1050,59,328,2280,5,104,27,6.8
99,1650,1050,59,328,2280,5,104,27,6.8
99,1669,1050,58,326,2280,5,94,31,6.8
99,1669,1050,58,326,2280,5,94,31,6.8
99,1654,1050,57,326,2279,5,84,33,6.8
99,1654,1050,57,326,2279,5,84,33,6.8
99,1659,1050,59,323,2279,5,96,28,6.8
99,1659,1050,59,323,2279,5,96,28,6.8
99,1660,1050,58,328,2280,5,86,34,6.8
99,1668,1050,57,327,2279,5,89,30,6.8
99,1668,1050,57,327,2279,5,89,30,6.8
87,1659,1050,59,316,2280,5,94,29,6.8
87,1659,1050,59,316,2280,5,94,29,6.8
99,1655,1050,59,328,2234,5,99,30,6.8
99,1653,1050,57,332,2226,5,103,26,6.8
99,1653,1050,57,332,2226,5,103,26,6.8
99,1653,1050,57,329,2227,5,102,31,6.8
99,1653,1050,57,329,2227,5,102,31,6.8
99,1654,1050,59,320,2273,5.1,99,27,6.8
99,1655,1050,59,320,2281,5.1,97,31,6.8
99,1655,1050,59,320,2281,5.1,97,31,6.8
99,1656,1050,57,327,2278,5.1,98,26,6.8
99,1656,1050,57,327,2278,5.1,98,26,6.8
99,1653,1050,59,327,2233,5.1,98,26,6.8
99,1653,1050,59,327,2233,5.1,98,26,6.8
99,1651,1050,56,328,2226,5.1,102,27,6.8
99,1651,1050,56,328,2226,5.1,102,27,6.8
99,1653,1050,59,316,2224,5.1,104,27,6.8
99,1653,1050,59,316,2224,5.1,104,27,6.8
99,1648,1050,60,333,2224,5.1,102,28,6.8
99,1648,1050,60,333,2224,5.1,102,28,6.8
99,1653,1050,59,328,2225,5.1,99,28,6.8
99,1653,1050,59,328,2225,5.1,99,28,6.8
99,1654,1050,60,325,2225,5.1,95,26,6.8
99,1656,1050,60,318,2224,5.1,94,29,6.8
99,1656,1050,60,318,2224,5.1,94,29,6.8
99,1651,1050,60,318,2227,5.1,92,32,6.8
99,1647,1050,59,333,2257,5.1,100,29,6.8
99,1650,1050,60,332,2288,5.1,99,29,6.8
99,1650,1050,60,332,2288,5.1,99,29,6.8
99,1635,1050,60,314,2299,5.1,99,30,6.8
99,1635,1050,60,314,2299,5.1,99,30,6.8
99,1652,1050,57,331,2264,5.1,101,30,6.8
99,1650,1050,57,317,2237,5.1,97,35,6.8
99,1601,1050,57,300,2229,5.1,97,35,6.8
99,1601,1050,57,300,2229,5.1,97,31,6.8
99,1652,1050,60,328,2228,5.1,103,31,6.8
99,1652,1050,60,328,2228,5.1,103,27,6.8
99,1653,1050,60,326,2244,5.1,100,28,6.8
99,1650,1050,58,344,2246,5.1,100,25,6.8
99,1652,1050,60,327,2245,5.1,98,27,6.8
99,1652,1050,60,327,2245,5.1,98,27,6.8
99,1653,1050,61,334,2245,5.1,101,28,6.8
99,1655,1050,59,333,2245,5.1,99,28,6.8
99,1652,1050,58,332,2244,5.1,100,32,6.8
99,1652,1050,58,332,2244,5.1,100,32,6.8
99,1653,1050,60,333,2246,5.1,102,28,6.8
99,1653,1050,60,333,2246,5.1,102,28,6.8
99,1652,1050,60,334,2308,5.1,102,28,6.8
99,1654,1050,59,329,2315,5.1,101,25,6.8
99,1654,1050,59,329,2315,5.1,101,25,6.8
99,1654,1050,61,326,2315,5.1,99,28,6.8
99,1654,1050,61,326,2315,5.1,99,28,6.8
99,1649,1050,60,326,2256,5.1,101,29,6.8
99,1649,1050,60,323,2249,5.1,102,30,6.8
99,1649,1050,60,323,2249,5.1,102,30,6.8
99,1652,1050,60,323,2246,5.1,102,29,6.8
99,1652,1050,60,323,2246,5.1,102,29,6.8
