GPU UTIL,GPU SCLK,GPU MCLK,GPU TEMP,GPU PWR,GPU FAN,GPU VRAM UTIL,FPS,CPU UTIL,RAM UTIL
71,1074,1050,44,81,1329,3.3,114,28,5.4
71,1074,1050,44,81,1329,3.3,114,28,5.4
11,788,500,44,26,1329,3.3,95,34,5.6
11,788,500,44,26,1329,3.3,95,34,5.6
65,1056,800,44,85,1330,3.4,104,30,5.6
65,1056,800,44,85,1330,3.4,104,30,5.6
69,1020,800,44,79,1330,3.4,99,28,5.7
69,1020,800,44,79,1330,3.4,99,28,5.7
71,977,1050,44,73,1332,3.4,93,28,5.8
68,999,800,44,70,1319,3.5,101,27,5.8
68,999,800,44,70,1319,3.5,101,27,5.8
38,1143,500,45,94,1299,3.5,93,31,5.9
38,1143,500,45,94,1299,3.5,93,31,5.9
76,1146,1050,46,104,1275,3.5,94,37,6.1
83,1328,1050,47,131,1276,3.5,103,39,6
70,1082,1050,45,103,1292,3.6,79,38,6.1
70,1082,1050,45,103,1292,3.6,79,38,6.1
82,1598,1050,51,262,1325,3.6,108,40,6.1
82,1598,1050,51,262,1325,3.6,108,40,6.1
77,1480,1050,49,141,1363,3.6,106,39,6.1
77,1480,1050,49,141,1363,3.6,106,39,6.1
71,1349,1050,48,157,1406,3.6,84,42,6.2
71,1349,1050,48,157,1406,3.6,84,42,6.2
92,1663,1050,52,273,1452,3.6,97,33,6.2
92,1663,1050,52,273,1452,3.6,97,33,6.2
76,1660,1050,52,240,1495,3.6,99,36,6.2
54,1601,1050,50,184,1516,3.6,92,42,6.2
84,1569,1050,51,230,1516,3.6,88,42,6.2
84,1569,1050,51,230,1560,3.7,88,46,6.3
82,1624,1050,52,271,1579,3.6,90,39,6.1
82,1624,1050,52,271,1579,3.6,90,39,6.1
89,1680,1050,53,290,1617,3.6,111,40,6.2
89,1680,1050,53,290,1617,3.6,111,40,6.2
94,1704,1050,54,293,1659,3.6,122,36,6.2
94,1704,1050,54,293,1659,3.6,122,36,6.2
96,1697,1050,54,273,1709,3.7,119,37,6.2
99,1702,1050,54,302,1735,3.7,114,40,6.2
99,1702,1050,54,302,1735,3.7,114,40,6.2
89,1683,1050,54,261,1788,3.7,114,39,6.2
89,1683,1050,54,261,1788,3.7,114,39,6.2
99,1702,1050,54,299,1832,3.6,108,42,6
99,1698,1050,55,308,1851,3.6,118,39,6
99,1698,1050,55,308,1851,3.6,118,39,6
99,1710,1050,54,296,1891,3.6,113,40,6.1
99,1710,1050,54,296,1891,3.6,113,40,6.1
98,1709,1050,54,304,1929,3.6,112,37,6.1
99,1706,1050,55,304,1945,3.6,115,38,6.1
99,1706,1050,55,304,1945,3.6,115,38,6.1
99,1703,1050,55,304,1968,3.6,115,37,6.1
99,1703,1050,55,304,1968,3.6,115,37,6.1
98,1698,1050,56,318,1987,3.6,116,34,6.1
99,1701,1050,55,303,1997,3.6,115,41,6.2
99,1701,1050,55,303,1997,3.6,115,41,6.2
99,1699,1050,56,301,2008,3.6,114,40,6.2
99,1705,1050,55,307,2012,3.6,117,36,6.2
99,1702,1050,55,307,2025,3.6,116,32,6.2
99,1702,1050,55,307,2025,3.6,116,32,6.2
98,1703,1050,55,291,2029,3.7,114,33,6.3
98,1703,1050,55,291,2029,3.7,114,33,6.3
99,1704,1050,55,296,2031,3.6,108,34,6
99,1704,1050,55,296,2031,3.6,108,34,6
99,1704,1050,55,314,2029,3.6,121,35,6
99,1704,1050,55,314,2029,3.6,121,35,6
99,1701,1050,56,308,2029,3.6,125,27,6
99,1701,1050,56,308,2029,3.6,125,27,6
99,1706,1050,56,310,2030,3.6,122,31,6
98,1702,1050,56,309,2030,3.6,118,31,6
98,1702,1050,56,309,2030,3.6,118,31,6
99,1683,1050,54,301,2028,3.6,107,35,6
99,1673,1050,54,311,2029,3.6,118,33,6
99,1673,1050,54,311,2029,3.6,118,33,6
98,1642,1050,55,230,2029,3.6,111,36,6
98,1642,1050,55,230,2029,3.6,111,36,6
99,1701,1050,56,315,2029,3.6,110,34,6
99,1701,1050,56,315,2029,3.6,110,34,6
99,1703,1050,56,305,2029,3.6,115,33,6
99,1706,1050,56,303,2029,3.6,119,30,6
99,1706,1050,56,303,2029,3.6,119,30,6
99,1705,1050,57,303,2031,3.6,122,26,6
99,1705,1050,56,306,2030,3.6,126,35,6
99,1705,1050,56,306,2030,3.6,126,35,6
99,1705,1050,56,305,2030,3.6,122,31,6
99,1705,1050,56,305,2030,3.6,122,31,6
98,1706,1050,56,293,2030,3.6,117,30,6
99,1707,1050,56,298,2031,3.6,117,30,6
99,1707,1050,56,298,2031,3.6,117,27,6
99,1707,1050,54,303,2014,3.6,118,31,6
99,1707,1050,54,303,2014,3.6,118,31,6
99,1707,1050,55,300,2010,3.6,119,31,6
